COURSE_NO,COURSE_CODE,COURSE_NAME,COURSE_SECTION,COURSE_TYPE,COURSE_DAY,COURSE_STARTTIME,COURSE_ENDTIME,ROOM_BUILDING,ROOM_CODE,ENROLL,CAPACITY
1,5500112,EXP ENG II,1,L/P,TU,08:00,11:00,ENG3,301,33,65
2,5500112,EXP ENG II,10,L/P,MO,13:00,16:00,ENG3,205,33,35
3,5500112,EXP ENG II,11,L/P,MO,13:00,16:00,ENG3,206,33,50
4,5500112,EXP ENG II,12,L/P,MO,13:00,16:00,ENG3,306,33,30
5,5500112,EXP ENG II,13,L/P,TU,13:00,16:00,ENG3,204,33,55
6,5500112,EXP ENG II,14,L/P,TU,13:00,16:00,ENG3,205,33,60
7,5500112,EXP ENG II,15,L/P,TH,13:00,16:00,ENG3,306,33,30
8,5500112,EXP ENG II,16,L/P,TU,13:00,16:00,ENG3,206,33,50
9,5500112,EXP ENG II,17,L/P,MO,13:00,16:00,ENG3,308,33,60
10,5500112,EXP ENG II,18,L/P,MO,13:00,16:00,ENG3,319,33,55
11,5500112,EXP ENG II,19,L/P,MO,13:00,16:00,ENG3,324,33,65
12,5500112,EXP ENG II,2,L/P,TU,08:00,11:00,ENG3,404,33,60
13,5500112,EXP ENG II,20,L/P,WE,13:00,16:00,ENG3,304,33,40
14,5500112,EXP ENG II,21,L/P,WE,13:00,16:00,ENG3,305,33,60
15,5500112,EXP ENG II,22,L/P,TU,13:00,16:00,ENG3,304,33,35
16,5500112,EXP ENG II,23,L/P,WE,13:00,16:00,ENG3,306,33,60
17,5500112,EXP ENG II,24,L/P,WE,13:00,16:00,ENG3,317,33,45
18,5500112,EXP ENG II,3,L/P,TU,08:00,11:00,ENG3,405,33,40
19,5500112,EXP ENG II,4,L/P,TU,08:00,11:00,ENG3,407,33,45
20,5500112,EXP ENG II,5,L/P,WE,13:00,16:00,ENG3,404,33,50
21,5500112,EXP ENG II,6,L/P,WE,13:00,16:00,ENG3,205,33,55
22,5500112,EXP ENG II,7,L/P,TH,13:00,16:00,ENG3,304,33,55
23,5500112,EXP ENG II,8,L/P,TH,13:00,16:00,ENG3,305,33,30
24,5500112,EXP ENG II,9,L/P,WE,13:00,16:00,ENG3,206,33,60
25,5500208,COM PRES SKIL,1,L/P,MO,13:00,16:00,ENG3,401,34,35
26,5500208,COM PRES SKIL,10,L/P,FR,09:00,12:00,ENG3,206,34,40
27,5500208,COM PRES SKIL,11,L/P,FR,09:00,12:00,ENG3,304,34,35
28,5500208,COM PRES SKIL,12,L/P,FR,09:00,12:00,ENG3,306,34,30
29,5500208,COM PRES SKIL,13,L/P,FR,09:00,12:00,ENG3,309,34,45
30,5500208,COM PRES SKIL,2,L/P,MO,13:00,16:00,ENG3,402,34,55
31,5500208,COM PRES SKIL,3,L/P,MO,13:00,16:00,ENG3,403,34,45
32,5500208,COM PRES SKIL,4,L/P,TU,13:00,16:00,ENG3,309,34,50
33,5500208,COM PRES SKIL,5,L/P,TU,13:00,16:00,ENG3,406,34,30
34,5500208,COM PRES SKIL,6,L/P,TU,13:00,16:00,ENG3,407,34,45
35,5500208,COM PRES SKIL,7,L/P,TH,13:00,16:00,ENG3,204,34,45
36,5500208,COM PRES SKIL,8,L/P,TH,13:00,16:00,ENG3,205,34,65
37,5500208,COM PRES SKIL,9,L/P,TH,13:00,16:00,ENG3,206,34,65
38,5500308,TECH WRIT ENG,1,L/P,TU,09:00,12:00,ENG3,304,32,35
39,5500308,TECH WRIT ENG,10,L/P,FR,09:00,12:00,ENG3,408,20,20
40,5500308,TECH WRIT ENG,11,L/P,FR,09:00,12:00,ENG3,320,32,55
41,5500308,TECH WRIT ENG,12,L/P,FR,09:00,12:00,ENG3,301,32,45
42,5500308,TECH WRIT ENG,13,L/P,FR,09:00,12:00,ENG3,404,31,55
43,5500308,TECH WRIT ENG,2,L/P,TU,09:00,12:00,ENG3,308,32,50
44,5500308,TECH WRIT ENG,3,L/P,TU,09:00,12:00,ENG3,402,32,45
45,5500308,TECH WRIT ENG,4,L/P,TU,09:00,12:00,ENG3,403,18,25
46,5500308,TECH WRIT ENG,5,L/P,WE,08:00,11:00,ENG3,304,32,45
47,5500308,TECH WRIT ENG,6,L/P,FR,09:00,12:00,ENG3,402,32,30
48,5500308,TECH WRIT ENG,7,L/P,FR,09:00,12:00,ENG3,403,33,50
49,5500308,TECH WRIT ENG,8,L/P,FR,09:00,12:00,ENG3,406,33,45
50,5500308,TECH WRIT ENG,9,L/P,FR,09:00,12:00,ENG3,407,32,30
